Location name,lat,long
Telephone Exchange to C.A road,21.148698,79.12153784
Prakash High School,21.149444,79.16055556
Juni Pardi Naka Chowk,21.151389,79.14888889
Chattrapati Square,21.110833,79.0701071
Dongargaon,20.980467,79.02711
Rajiv Nagar intersection,21.103647,78.99067796
8th mile,21.144153,78.972125
Wadhamna,21.14072,78.95025844
Wadi T point (Dhamna),21.152866,79.00226814
Dattawadi Square,21.15075,78.996444
Khandghav Turning,21.156207,79.001164
NEERI Point,21.119333,79.068404
Zhansi Rani Square (2),21.141243,79.08029298
Campus Intersection (Nagpur University Campus),21.149109,79.04082066
Ravi Nagar,21.14744,79.056196
Auto HUB to Toll Naka,21.153524,79.004188
Mayo Square,21.153172,79.094031
Veerghav Square (Omkar Nagar),21.105488,79.09442442
Mahalgi Nagar Square,21.107656,79.11960737
Manewada Square,21.105222,79.10246498
Shrinagar Chowk,21.107711,79.079938
Kharbi Chowk,21.124248,79.13847982
Shitala Mata Square,21.121944,79.12111111
Wathoda Square,21.133611,79.14333333
Chikli Square,21.1623,79.141057
"Maruti Seva Square, Amravati Road",21.152709,79.02068
Chamat,21.11409611,79.13097
